TEU,Length (m),Width (m),Ship Area(m2),TEU_2,CO2
13000,366,50,18300,18000,3.1
10000,335,48,16080,8000,12.5
8500,335,42,14070,5500,16.6
6478,318,40,12720,2500,20
6589,305,40,12200,1500,32.1
6730,304,40,12160,500,36.3
6188,299,40,11960,,
5050,294,32,9408,,
4650,292,32,9344,,
4112,280,32,8960,,
5514,278,40,11120,,
4616,264,32,8448,,
3217,243,32,7776,,
2400,225,24,5400,,
2570,211,29,6119,,
2500,207,30,6210,,
1330,192,20,3840,,
1260,192,20,3840,,
2500,189,28,5292,,
2130,171,27,4617,,
860,155,17.5,2712.5,,
1100,148,23.5,3478,,
392,120,22,2640,,
362,118,20,2360,,
500,118,16.5,1947,,
320,100,20,2000,,
167,90,17,1530,,
80,55,12.2,671,,
