MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
311109000,2017-12-01T00:03:29,18.85018,-65.84870,18.2,130.9,129.0,NORWEGIAN SUN,IMO9218131,C6RN3,1012,under way using engine,258.59,32.25,,
671966000,2017-12-01T19:36:04,18.33037,-64.96089,0.0,-149.5,511.0,,,,,power-driven vessel towing astern,,,,
367573630,2017-12-01T00:03:10,18.28271,-65.63716,0.0,-123.3,511.0,,,,,,,,,
232012229,2017-12-01T00:05:54,17.80085,-65.31860,6.9,37.7,511.0,,,,,,,,,
366744150,2017-12-01T19:41:44,18.33495,-64.92114,0.0,-49.6,511.0,KON TIKI II,,WDF6312,1012,under way using engine,27.43,10,,
367617230,2017-12-01T00:12:44,18.29556,-65.39324,11.4,96.6,511.0,SANTA MARIA,IMO9010383,WDH4392,1012,under way using engine,41.54,11.4,,
367617230,2017-12-01T00:13:52,18.29537,-65.38942,11.6,94.5,511.0,SANTA MARIA,IMO9010383,WDH4392,1012,under way using engine,41.54,11.4,,
367617230,2017-12-01T00:16:22,18.29394,-65.38108,11.6,109.4,511.0,SANTA MARIA,IMO9010383,WDH4392,1012,under way using engine,41.54,11.4,,
232012229,2017-12-01T00:17:53,17.82004,-65.30371,8.0,35.2,511.0,,,,,,,,,
